canal,iso3,delay_USD_piracy,lost_USD_piracy,revenue_USD_piracy,reroute_USD_piracy,war_premium_USD_piracy,shipping_price_USD_piracy,total_loss_USD_piracy,delay_USD_geopolitical,lost_USD_geopolitical,revenue_USD_geopolitical,reroute_USD_geopolitical,war_premium_USD_geopolitical,shipping_price_USD_geopolitical,total_loss_USD_geopolitical,delay_USD_blockage,lost_USD_blockage,revenue_USD_blockage,reroute_USD_blockage,war_premium_USD_blockage,shipping_price_USD_blockage,total_loss_USD_blockage,delay_USD_drought,lost_USD_drought,revenue_USD_drought,reroute_USD_drought,war_premium_USD_drought,shipping_price_USD_drought,total_loss_USD_drought,delay_USD_EQ,lost_USD_EQ,revenue_USD_EQ,reroute_USD_EQ,war_premium_USD_EQ,shipping_price_USD_EQ,total_loss_USD_EQ,delay_USD_TC,lost_USD_TC,revenue_USD_TC,reroute_USD_TC,war_premium_USD_TC,shipping_price_USD_TC,total_loss_USD_TC,delay_USD_terrorist,lost_USD_terrorist,revenue_USD_terrorist,reroute_USD_terrorist,war_premium_USD_terrorist,shipping_price_USD_terrorist,total_loss_USD_terrorist,delay_USD_conflict,lost_USD_conflict,revenue_USD_conflict,reroute_USD_conflict,war_premium_USD_conflict,shipping_price_USD_conflict,total_loss_USD_conflict,total_loss_USD,total_delay_USD,total_rerouting_USD,total_lost_USD,total_revenue_USD,total_war_premium_USD,total_shipping_price_USD
Suez Canal,JPN,0.1236515562213773,19234.686523325363,288520297.84988046,160630578.06576225,150442726.7360091,240945867.09864336,840558704.5604701,0.6182577811068865,254172.6433439423,3812589650.159134,2122618353.011858,1880534084.2001135,3183927529.517787,10999923790.150494,0.6182577811068866,20608.592703562885,309128890.5534433,172104190.78474525,1504427267.360091,258156286.17711788,2243837244.0863585,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.1080870246690361,3602.900822301203,54043512.334518045,30088145.242088318,65752940.00699697,45132217.86313248,195020418.45564514,0.19943799390544725,22159.777100605254,332396656.5090788,185058269.6610164,363974338.87744135,277587404.4915246,1159038829.5155997,0.24730311244275469,27478.123604750515,412171854.0712578,229472254.37966034,1203541813.888073,344208381.5694905,2189421782.2793894,17627800769.04796,1.9149952494523883,2899971791.14513,347256.72409848747,5208850861.477312,5168673171.068725,4349957686.717696
Suez Canal,DEU,0.4639049574701196,72162.99338424084,1082444900.7636125,632108227.5052644,564417698.2553122,948162341.2578967,3227205331.239375,2.319524787350598,953582.412577468,14303736188.662022,8352858720.605278,7055221228.191402,12529288080.907917,42242057803.098724,2.319524787350598,77317.4929116866,1159762393.675299,677258815.1842119,5644176982.5531225,1015888222.7763178,8497163734.001388,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.4055113264598947,13517.044215329823,202755663.22994733,118401890.76647058,246686056.92976928,177602836.1497059,745459964.5256197,0.7482338023711606,83137.08915235117,1247056337.2852676,728235285.1443137,1365526689.3273683,1092352927.7164705,4433254377.310806,0.9278099149402393,103089.99054891546,1546349858.2337322,903011753.5789492,4515341586.042499,1354517630.368424,8319323919.141962,67464465129.31787,7.18450957594261,11411874692.784487,1302807.0227899922,19542105341.849884,19391370241.299473,17117812039.176731
Gibraltar Strait,DEU,,0.0,0.0,0.0,,0.0,0.0,0.4418503546400752,331387.7659800564,4970816489.700846,1401154123.726022,3023913364.5680146,2101731185.5890331,11497946551.791746,0.8837007092801504,66277.55319601129,994163297.9401691,280230824.7452044,4838261383.308824,420346237.11780655,6533068021.5489,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.4418503546400752,33138.77659800564,497081648.97008455,140115412.3726022,604782672.913603,210173118.55890328,1452185992.0336413,0.08837007092801505,22092.51773200376,331387765.9800564,93410274.91506813,362869603.7481618,140115412.3726022,927805149.6219907,0.1262429584685929,31560.739617148225,473411094.25722337,133443249.87866877,1382360395.2310925,200164874.81800315,2189411175.050848,22600416890.047127,1.9820144479569088,2048353885.6375656,484457.3531232254,7266860296.848379,10212187419.769695,3072530828.456348
Bosporus Strait,DEU,0.3297702722183711,92335.67622114392,1385035143.3171585,462992727.60226864,722196896.1582327,694489091.4034029,3264806194.487054,0.9699125653481503,581947.5392088902,8729213088.133352,2918021392.4512725,5310271295.281123,4377032088.6769085,21335119813.05178,1.0992342407279034,65954.05444367422,989310816.6551131,330709091.1444776,4814645974.388218,496063636.7167164,6630795474.058203,,0.0,0.0,0.0,,0.0,0.0,0.16488513610918554,1203661.4935970546,18054922403.95582,6035440913.386717,180549224.03955817,9053161370.080074,33325277573.12065,0.6595405444367421,39572.432666204535,593586489.993068,198425454.68668655,722196896.1582327,297638182.03002983,1811886595.9602237,0.2638162177746969,52763.24355493938,791448653.3240906,264567272.91558215,866636275.3898793,396850909.3733732,2319555874.5102963,0.5496171203639519,109923.42407279038,1648851361.0918553,551181818.5741295,4814645974.388219,826772727.8611941,7841561805.889088,76529003331.0773,4.036776096979001,10761338670.761135,2146157.863764697,32192367956.47045,17431142535.803463,16142008006.141699
Oresund Strait,DEU,,0.0,0.0,0.0,,0.0,0.0,0.04858113876990787,72871.70815486182,1093075622.322927,132523043.04651307,664954336.9131141,198784564.5697696,2089410438.6090598,0.09716227753981574,14574.34163097236,218615124.4645854,26504608.60930261,1063926939.0609823,39756912.913953915,1348818159.4876177,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3438228598.096678,0.1457434163097236,159027651.65581566,87446.04978583417,1311690746.7875123,1728881275.9740963,238541477.48372352
Strait of Malacca,IND,0.7769054866966615,108766.7681375326,1631501522.062989,1015995628.8836966,850711507.9328443,1523993443.3255448,5022310869.750118,1.195239210302556,358571.7630907668,5378576446.361501,3349436139.1770215,3271967338.203247,5024154208.7655325,17024492705.465633,1.553810973393323,46614.32920179969,699214938.0269952,435426698.0930128,3402846031.731377,653140047.1395192,5190674330.873917,,0.0,0.0,0.0,,0.0,0.0,0.4439459923980922,1620402.8722530368,24306043083.795547,15136261409.899971,243060430.8379555,22704392114.849957,62391377442.69963,6.215243893573292,186457.31680719875,2796859752.1079807,1741706792.3720512,3402846031.731377,2612560188.558077,10554159228.301537,0.2959639949320615,29596.39949320615,443945992.3980922,276461395.6146113,486120861.67591095,414692093.42191696,1621249939.8059888,0.591927989864123,59192.7989864123,887891984.7961844,552922791.2292227,2592644595.6048584,829384186.8438339,4862902751.865014,106667167268.76186,11.073037541160108,22508210855.26959,2409602.2479699533,36144033719.549286,14250196797.71757,33762316282.904377
Suez Canal,IND,0.14175871976394294,22051.356407724452,330770346.11586684,216279570.61236316,172473109.04613057,324419355.91854477,1043964433.1910717,0.7087935988197145,291392.923959216,4370893859.388239,2857980040.2347984,2155913863.0766315,4286970060.3521976,13672049216.68462,0.7087935988197146,23626.453293990486,354396799.4098573,231728111.3703891,1724731090.4613056,347592167.05558366,2658471795.4592233,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.12391496482862141,4130.498827620713,61957482.4143107,40511907.58223584,75381603.60407804,60767861.373353764,238622985.59672093,0.22864309639345629,25404.788488161816,381071827.32242715,249170012.2262248,417273650.9180577,373755018.3393372,1421295913.8231783,0.2835174395278859,31501.93772532065,472529065.8798097,308970815.1605188,1379784872.3690448,463456222.7407782,2624772478.371394,21659176823.12621,2.1954214181533356,3904640457.18653,398107.958702034,5971619380.53051,5925558189.475248,5856960685.779796
Bab el-Mandeb Strait,IND,0.08700020632328315,20300.048142099407,304500722.13149107,129312866.0689884,158775376.53999174,193969299.1034826,786578563.979096,0.49764118016917974,306878.7277709941,4603180916.564912,1954841069.631479,2270487884.521882,2932261604.4472184,11761078354.390902,0.7540017881351208,37700.08940675604,565501341.1013404,240152465.55669272,2752106526.6931906,360228698.3350391,3918026732.5296717,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7800018497949526,39000.09248974763,585001387.3462143,248433585.05864763,711751687.9378941,372650377.58797145,1917876038.803219,0.1256669646891868,20944.49411486447,314167411.72296697,133418036.42038488,344013315.8366488,200127054.63057733,991746763.2303598,0.3231436234864804,53857.270581080054,807859058.7162008,343074950.7952754,2358948451.4513063,514612426.19291306,4024548744.74942,23399855197.682667,2.5674556125982035,3049232973.531468,478680.7225055417,7180210837.583125,8596083242.980913,4573849460.297202
Strait of Hormuz,IND,0.11268079967296563,19719.139942768987,295787099.14153486,145059423.72329345,154231844.5523717,217589135.5849402,812687222.2547638,0.49579551856104875,229305.42733448505,3439581410.017276,1686833870.1537266,1696550290.076089,2530250805.23059,9353445681.40081,0.5859401582994214,21972.7559362283,329591339.0434245,161637643.57738417,1604011183.3446662,242456465.36607626,2337718604.6734276,,0.0,0.0,0.0,,0.0,0.0,0.08616767033815019,393139.9959178103,5897099938.767155,2892046073.81104,58970999.387671545,4338069110.71656,13186579262.764513,0.7324251978742766,27465.944920285376,411989173.80428064,202047054.47173017,501253494.79520816,303070581.7075952,1418387771.4561596,0.14648503957485534,18310.629946856916,274659449.2028538,134698036.31448683,300752096.8771249,202047054.47173023,912174947.6426277,0.3662125989371383,45776.57486714229,686648623.0071344,336745090.786217,2005013979.1808326,505117636.17932546,3533571106.094589,31554564596.286892,2.525706983257856,5559067192.837877,755690.4688655771,11335357032.983662,6320783888.213964,8338600789.256817
Suez Canal,FRA,0.257333375517023,40029.63619153691,600444542.8730536,355954512.69919807,313088940.21237797,533931769.04879713,1803459794.7269516,1.2866668775851149,528963.0496738806,7934445745.108208,4703684632.096546,3913611752.6547236,7055526948.144819,23607798042.340637,1.286666877585115,42888.89591950383,643333438.7925574,381379835.03485507,3130889402.1237793,572069752.5522826,4727715318.686061,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.22494176181557954,7498.058727185983,112470880.90778972,66674796.33476487,136839571.77114418,100012194.5021473,416004941.799515,0.4150538314790694,46117.09238656325,691756385.7984488,410085844.1235001,757473242.4493015,615128766.1852502,2474490356.063941,0.5146667510340461,57185.19455933845,857777918.3900765,508506446.71314,2504711521.6990237,762759670.06971,4633812742.581176,37663281196.19828,3.985329475015948,6426286067.002003,722681.927458009,10840228911.870132,10756614430.91035,9639429100.503006
Gibraltar Strait,FRA,,0.0,0.0,0.0,,0.0,0.0,0.18083254042907398,135624.40532180548,2034366079.8270822,541974318.3288438,1237572698.561475,812961477.4932657,4627010198.796822,0.36166508085814797,27124.881064361096,406873215.9654164,108394863.66576877,1980116317.6983602,162592295.49865317,2658003818.0709276,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.18083254042907398,13562.440532180548,203436607.9827082,54197431.832884386,247514539.71229503,81296147.74932659,586458289.8985789,0.0361665080858148,9041.6270214537,135624405.32180548,36131621.22192293,148508723.827377,54197431.832884386,374471223.8671777,0.05166644012259256,12916.61003064814,193749150.4597221,51616601.745604165,565747519.3423886,77424902.61840625,888551090.8278183,9134494621.461325,0.8111631099247032,792314836.795024,198269.96397044897,2974049459.556734,4179459799.141896,1188472255.192536
Bosporus Strait,FRA,0.1444694533350862,40451.44693382414,606771704.0073621,218814837.1927421,316388102.80383885,328222255.78911316,1470237351.3844595,0.4249101568679006,254946.09412074037,3824191411.8111053,1379085108.3576183,2326383108.851756,2068627662.5364275,9598542238.07594,0.48156484445028735,28893.89066701724,433408360.00525856,156296312.28053007,2109254018.6922588,234444468.42079508,2933432053.7710743,,0.0,0.0,0.0,,0.0,0.0,0.0722347266675431,527313.5046730647,7909702570.09597,2852407699.119674,79097025.70095971,4278611548.679511,15120346157.173023,0.2889389066701724,17336.334400210344,260045016.00315517,93777787.36831804,316388102.80383885,140666681.05247706,810894923.8511283,0.115575562668069,23115.112533613796,346726688.0042069,125037049.82442409,379665723.3646066,187555574.73663613,1039008151.157983,0.2407824222251437,48156.484445028735,722347266.6754311,260493853.80088344,2109254018.692259,390740780.7013252,3482884076.595126,34455344952.00873,1.7684760728842024,5085912647.944189,940212.8677734993,14103193016.60249,7636430100.909517,7628868971.916285
Oresund Strait,FRA,,0.0,0.0,0.0,,0.0,0.0,0.020050540110641252,30075.810165961877,451137152.4894281,62106816.08071128,274441767.7644021,93160224.12106693,880876036.2858249,0.040101080221282503,6015.162033192374,90227430.49788561,12421363.216142258,439106828.4230434,18632044.824213386,560393682.1634189,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1441269718.4492438,0.060151620331923755,74528179.29685354,36090.972199154254,541364582.9873137,713548596.1874454,111792268.94528031
Suez Canal,ITA,0.1641631536773631,25536.49057203426,383047358.5805139,230750855.44880015,199731836.97412512,346126283.17320025,1159681870.8313746,0.8208157683868155,337446.4825590241,5061697238.385362,3049207732.716288,2496647962.1765637,4573811599.074432,15181701979.656021,0.8208157683868156,27360.52561289385,410407884.1934078,247233059.40942872,1997318369.741251,370849589.1141431,3025836263.804659,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.1434992602074852,4783.30867358284,71749630.1037426,43222562.8338162,87295383.29288684,64833844.2507243,267106203.9333428,0.2647792801247792,29419.920013864357,441298800.2079652,265841999.36497712,483222186.227722,398762999.0474657,1589155405.0329232,0.32832630735472623,36480.700817191806,547210512.2578771,329644079.2125717,1597854695.7930012,494466118.81885755,2969211887.111451,24192693610.36977,2.542399538137985,4165900288.9858813,461027.42824859126,6915411423.7288685,6862070434.205549,6248850433.478823
Gibraltar Strait,ITA,,0.0,0.0,0.0,,0.0,0.0,0.16075672557827167,120567.54418370375,1808513162.7555563,451873117.24863636,1100178840.676297,677809675.8729546,4038495364.2583847,0.32151345115654334,24113.50883674075,361702632.5511112,90374623.44972727,1760286145.0820749,135561935.1745909,2347949450.0878544,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.16075672557827167,12056.754418370376,180851316.2755556,45187311.72486363,220035768.13525936,67780967.58729544,513867420.63814914,0.03215134511565434,8037.8362789135845,120567544.18370377,30124874.483242422,132021460.88115562,45187311.72486363,327909229.14139575,0.04593049302236333,11482.623255590832,172239348.83386248,43035534.9760606,502938898.5948785,64553302.4640909,782778567.5380787,8011000031.663862,0.7211087404511043,660595461.8825303,176258.26697331926,2643874004.599789,3715461113.369665,990893192.8237954
Bosporus Strait,ITA,0.15620828726871108,43738.3204352391,656074806.5285864,230725449.766616,342096149.1184772,346088174.649924,1575028318.5402472,0.4594361390256208,275661.68341537245,4134925251.230586,1454151994.3274117,2515412861.165273,2181227991.4911175,10285993760.35724,0.5206942908957035,31241.657453742206,468624861.8061331,164803892.69043994,2280640994.1231813,247205839.0356599,3161306829.833562,,0.0,0.0,0.0,,0.0,0.0,0.07810414363435554,570160.2485307953,8552403727.961929,3007671041.6005297,85524037.2796193,4511506562.400795,16157675529.569508,0.31241657453742216,18744.994472245326,281174917.08367985,98882335.614264,342096149.1184772,148323503.421396,870495650.5447059,0.12496662981496888,24993.32596299377,374899889.4449065,131843114.15235198,410515378.9421727,197764671.22852796,1115048047.2188888,0.2603471454478518,52069.42908957035,781041436.3435552,274673154.4840666,2280640994.123182,412009731.7260999,3748417386.36634,36913965522.43049,1.9121732106246339,5362750982.63568,1016609.6593599585,15249144890.399376,8256926563.870382,8044126473.95352
Oresund Strait,ITA,,0.0,0.0,0.0,,0.0,0.0,0.019328212218504264,28992.31832775639,434884774.91634583,62563420.74675398,264554904.74077708,93845131.12013097,855877223.8616638,0.03865642443700853,5798.463665551278,86976954.98326917,12512684.149350798,423287847.5852433,18769026.224026196,541552311.4442114,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1397429535.3058753,0.05798463665551279,75076104.89610478,34790.78199330767,521861729.899615,687842752.3260204,112614157.34415716
